StudentID; DepartmentID; CourseNumber; CourseDate(month, year); Credits; StudentGrade 
256;ELE4;136;AUG/2020;3;64
194;ROB5;141;SEP/2020;2;69
978;CS1;150;SEP/2020;4;75
643;PHY2;142;SEP/2020;3;75
673;ART3;126;NOV/2020;5;50
225;ELE4;148;JAN/2020;2;53
257;ROB5;136;FEB/2020;4;70
540;CS1;137;MAR/2020;2;86
675;PHY2;122;APR/2020;4;50
701;ART3;120;MAY/2020;5;47
562;ELE4;123;JUN/2020;2;59
880;ROB5;147;JUL/2020;2;38
212;CS1;102;AUG/2020;4;71
464;PHY2;121;SEP/2020;4;58
417;ART3;104;SEP/2020;5;94
627;ELE4;107;SEP/2020;6;37
276;ROB5;130;NOV/2020;4;60
704;CS1;135;JAN/2020;6;37
991;PHY2;142;FEB/2020;3;70
428;ART3;140;MAR/2020;4;81
404;ELE4;112;APR/2020;2;64
545;ROB5;149;MAY/2020;3;37
128;CS1;138;JUN/2020;4;89
853;PHY2;100;JUL/2020;4;43
593;ART3;122;AUG/2020;4;48
296;ELE4;103;SEP/2020;2;71
901;ROB5;121;SEP/2020;2;96
426;CS1;127;SEP/2020;2;97
863;PHY2;128;NOV/2020;6;52
219;ART3;113;JAN/2020;3;82
956;ELE4;114;FEB/2020;5;80
191;ROB5;143;MAR/2020;5;86
733;CS1;130;APR/2020;4;72
667;PHY2;144;MAY/2020;5;78
873;ART3;110;JUN/2020;3;66
884;ELE4;111;JUL/2020;6;62
843;ROB5;108;AUG/2020;3;89
442;CS1;109;SEP/2020;5;56
520;PHY2;132;SEP/2020;3;87
335;ART3;143;SEP/2020;2;100
889;ELE4;125;NOV/2020;4;76
113;ROB5;137;JAN/2020;2;82
925;CS1;100;FEB/2020;2;77
568;PHY2;102;MAR/2020;6;93
608;ART3;142;APR/2020;5;89
852;ELE4;138;MAY/2020;2;100
442;ROB5;143;JUN/2020;2;67
747;CS1;126;JUL/2020;3;73
674;PHY2;142;AUG/2020;5;80
156;ART3;103;SEP/2020;5;94
932;ELE4;146;SEP/2020;2;48
706;ROB5;130;SEP/2020;3;59
338;CS1;110;NOV/2020;4;51
154;PHY2;110;JAN/2020;4;41
138;ART3;109;FEB/2020;2;66
232;ELE4;134;MAR/2020;2;96
388;ROB5;127;APR/2020;3;64
210;CS1;142;MAY/2020;2;89
375;PHY2;145;JUN/2020;3;48
827;ART3;122;JUL/2020;5;76
150;ELE4;114;AUG/2020;2;57
332;ROB5;121;SEP/2020;2;62
717;CS1;117;SEP/2020;6;65
532;PHY2;129;SEP/2020;5;99
703;ART3;143;NOV/2020;4;59
547;ELE4;123;JAN/2020;3;52
102;ROB5;138;FEB/2020;2;52
220;CS1;148;MAR/2020;2;77
350;PHY2;103;APR/2020;4;68
300;ART3;127;MAY/2020;4;70
118;ELE4;101;JUN/2020;6;37
251;ROB5;122;JUL/2020;2;72
782;CS1;130;AUG/2020;5;62
111;PHY2;111;SEP/2020;6;57
727;ART3;116;SEP/2020;5;98
512;ELE4;116;SEP/2020;5;81
113;ROB5;134;NOV/2020;5;80
561;CS1;140;JAN/2020;2;80
163;PHY2;137;FEB/2020;4;86
700;ART3;104;MAR/2020;6;94
207;ELE4;146;APR/2020;2;95
837;ROB5;134;MAY/2020;3;90
354;CS1;139;JUN/2020;3;80
393;PHY2;149;JUL/2020;6;60
873;ART3;121;AUG/2020;6;95
899;ELE4;137;SEP/2020;2;73
341;ROB5;140;SEP/2020;5;74
273;CS1;144;SEP/2020;6;56
252;PHY2;149;NOV/2020;5;85
514;ART3;120;JAN/2020;6;83
610;ELE4;119;FEB/2020;4;70
434;ROB5;101;MAR/2020;2;39
962;CS1;119;APR/2020;3;39
101;PHY2;127;MAY/2020;6;79
815;ART3;131;JUN/2020;3;59
739;ELE4;147;JUL/2020;6;60
862;ROB5;107;AUG/2020;5;93
256;CS1;103;SEP/2020;2;40
325;PHY2;118;SEP/2020;4;75
959;ART3;110;SEP/2020;5;68
350;ELE4;104;NOV/2020;2;100
386;ROB5;132;JAN/2020;3;76
252;CS1;114;FEB/2020;4;85
270;PHY2;129;MAR/2020;4;37
577;ART3;117;APR/2020;5;90
511;ELE4;133;MAY/2020;6;38
217;ROB5;102;JUN/2020;5;68
125;CS1;142;JUL/2020;2;84
222;PHY2;123;AUG/2020;6;83
385;ART3;131;SEP/2020;5;35
180;ELE4;113;SEP/2020;4;65
185;ROB5;148;SEP/2020;3;50
257;CS1;131;NOV/2020;6;88
885;PHY2;145;JAN/2020;2;57
618;ART3;119;FEB/2020;2;99
330;ELE4;108;MAR/2020;3;56
982;ROB5;106;APR/2020;3;44
921;CS1;120;MAY/2020;2;50
570;PHY2;127;JUN/2020;6;58
222;ART3;106;JUL/2020;6;75
755;ELE4;100;AUG/2020;5;83
203;ROB5;107;SEP/2020;4;78
319;CS1;122;SEP/2020;3;37
452;PHY2;101;SEP/2020;4;70
479;ART3;141;NOV/2020;3;76
234;ELE4;126;JAN/2020;5;86
147;ROB5;142;FEB/2020;6;57
337;CS1;104;MAR/2020;2;75
801;PHY2;130;APR/2020;5;86
374;ART3;116;MAY/2020;2;76
131;ELE4;121;JUN/2020;5;43
906;ROB5;127;JUL/2020;6;50
554;CS1;104;AUG/2020;2;51
213;PHY2;140;SEP/2020;3;80
511;ART3;107;SEP/2020;5;37
927;ELE4;116;SEP/2020;6;79
515;ROB5;148;NOV/2020;5;100
612;CS1;108;JAN/2020;4;90
388;PHY2;143;FEB/2020;2;74
832;ART3;111;MAR/2020;3;74
315;ELE4;119;APR/2020;5;35
270;ROB5;113;MAY/2020;2;47
606;CS1;127;JUN/2020;2;99
577;PHY2;125;JUL/2020;2;86
647;ART3;132;AUG/2020;2;48
850;ELE4;137;SEP/2020;2;47
462;ROB5;144;SEP/2020;2;68
901;CS1;115;SEP/2020;6;58
441;PHY2;105;NOV/2020;3;60
428;ART3;111;JAN/2020;3;83
395;ELE4;111;FEB/2020;2;97
327;ROB5;117;MAR/2020;5;50
236;CS1;104;APR/2020;2;50
903;PHY2;110;MAY/2020;6;66
308;ART3;101;JUN/2020;6;70
951;ELE4;116;JUL/2020;5;44
507;ROB5;112;AUG/2020;5;46
136;CS1;136;SEP/2020;6;45
267;PHY2;139;SEP/2020;2;76
979;ART3;143;SEP/2020;3;81
802;ELE4;138;NOV/2020;5;56
741;ROB5;141;JAN/2020;4;48
432;CS1;105;FEB/2020;2;54
550;PHY2;146;MAR/2020;5;46
131;ART3;101;APR/2020;6;65
911;ELE4;100;MAY/2020;2;47
669;ROB5;136;JUN/2020;6;62
612;CS1;140;JUL/2020;4;61
857;PHY2;117;AUG/2020;3;88
995;ART3;109;SEP/2020;3;80
289;ELE4;115;SEP/2020;4;86
676;ROB5;142;SEP/2020;3;43
353;CS1;144;NOV/2020;5;37
207;PHY2;132;JAN/2020;6;39
168;ART3;114;FEB/2020;5;73
431;ELE4;117;MAR/2020;6;81
545;ROB5;128;APR/2020;3;36
986;CS1;137;MAY/2020;2;62
498;PHY2;132;JUN/2020;4;41
231;ART3;120;JUL/2020;3;50
734;ELE4;132;AUG/2020;3;91
799;ROB5;122;SEP/2020;3;75
920;CS1;123;SEP/2020;5;74
941;PHY2;150;SEP/2020;5;94
201;ART3;143;NOV/2020;5;68
579;ELE4;127;JAN/2020;6;71
787;ROB5;132;FEB/2020;5;66
871;CS1;146;MAR/2020;5;88
283;PHY2;107;APR/2020;3;91
608;ART3;147;MAY/2020;6;57
895;ELE4;115;JUN/2020;5;85
146;ROB5;144;JUL/2020;4;45
942;CS1;125;AUG/2020;6;60
456;PHY2;114;SEP/2020;4;89
865;ART3;113;SEP/2020;5;70
374;ELE4;130;SEP/2020;2;85
404;ROB5;141;NOV/2020;5;39
735;CS1;149;JAN/2020;5;99
691;PHY2;120;FEB/2020;3;39
962;ART3;102;MAR/2020;2;92
981;ELE4;103;APR/2020;3;42
829;ROB5;123;MAY/2020;6;76
616;CS1;149;JUN/2020;5;81
615;PHY2;130;JUL/2020;3;70
875;ART3;134;AUG/2020;4;90
232;ELE4;134;SEP/2020;6;44
701;ROB5;138;SEP/2020;4;58
878;CS1;115;SEP/2020;6;42
263;PHY2;145;NOV/2020;4;58
362;ART3;100;JAN/2020;6;55
512;ELE4;112;FEB/2020;3;35
483;ROB5;114;MAR/2020;2;54
549;CS1;130;APR/2020;3;63
987;PHY2;121;MAY/2020;5;55
292;ART3;136;JUN/2020;3;74
719;ELE4;102;JUL/2020;2;64
825;ROB5;150;AUG/2020;2;46
725;CS1;148;SEP/2020;6;86
465;PHY2;110;SEP/2020;2;36
714;ART3;145;SEP/2020;5;53
975;ELE4;139;NOV/2020;2;88
250;ROB5;119;JAN/2020;4;35
813;CS1;118;FEB/2020;3;71
145;PHY2;125;MAR/2020;3;97
193;ART3;108;APR/2020;3;63
577;ELE4;122;MAY/2020;5;55
693;ROB5;123;JUN/2020;2;48
848;CS1;115;JUL/2020;4;64
353;PHY2;122;AUG/2020;6;82
462;ART3;102;SEP/2020;4;56
724;ELE4;149;SEP/2020;6;79
573;ROB5;109;SEP/2020;3;63
285;CS1;115;NOV/2020;2;71
564;PHY2;102;JAN/2020;6;80
115;ART3;121;FEB/2020;2;50
920;ELE4;101;MAR/2020;5;60
306;ROB5;140;APR/2020;5;94
431;CS1;107;MAY/2020;5;70
856;PHY2;143;JUN/2020;2;43
231;ART3;127;JUL/2020;6;38
355;ELE4;100;AUG/2020;6;56
451;ROB5;110;SEP/2020;5;65
366;CS1;127;SEP/2020;2;94
663;PHY2;136;SEP/2020;5;63
283;ART3;116;NOV/2020;5;86
218;ELE4;139;JAN/2020;5;44
890;ROB5;115;FEB/2020;2;52
218;CS1;147;MAR/2020;4;98
953;PHY2;123;APR/2020;3;47
973;ART3;150;MAY/2020;5;73
150;ELE4;104;JUN/2020;2;99
746;ROB5;126;JUL/2020;5;44
286;CS1;107;AUG/2020;6;45
855;PHY2;138;SEP/2020;6;35
564;ART3;101;SEP/2020;6;44
912;ELE4;142;SEP/2020;5;65
917;ROB5;124;NOV/2020;4;72
521;CS1;107;JAN/2020;2;50
601;PHY2;100;FEB/2020;5;70
637;ART3;102;MAR/2020;2;89
214;ELE4;145;APR/2020;4;53
687;ROB5;114;MAY/2020;2;92
209;CS1;128;JUN/2020;4;63
391;PHY2;112;JUL/2020;3;44
882;ART3;147;AUG/2020;5;77
135;ELE4;116;SEP/2020;5;93
980;ROB5;106;SEP/2020;5;61
281;CS1;118;SEP/2020;6;69
346;PHY2;127;NOV/2020;6;49
933;ART3;142;JAN/2020;6;37
596;ELE4;102;FEB/2020;4;71
273;ROB5;118;MAR/2020;6;69
718;CS1;111;APR/2020;2;49
636;PHY2;128;MAY/2020;4;78
896;ART3;126;JUN/2020;2;93
215;ELE4;116;JUL/2020;2;43
237;ROB5;135;AUG/2020;6;53
685;CS1;112;SEP/2020;2;55
333;PHY2;120;SEP/2020;4;99
996;ART3;131;SEP/2020;5;82
796;ELE4;115;NOV/2020;3;92
888;ROB5;104;JAN/2020;2;92
950;CS1;108;FEB/2020;5;88
103;PHY2;107;MAR/2020;3;86
544;ART3;103;APR/2020;2;98
217;ELE4;105;MAY/2020;3;52
654;ROB5;123;JUN/2020;6;95
913;CS1;137;JUL/2020;2;71
773;PHY2;129;AUG/2020;3;66
764;ART3;113;SEP/2020;5;94
899;ELE4;145;SEP/2020;3;82
192;ROB5;114;SEP/2020;3;68
578;CS1;111;NOV/2020;6;95
929;PHY2;121;JAN/2020;5;76
565;ART3;129;FEB/2020;5;43
115;ELE4;115;MAR/2020;2;84
408;ROB5;122;APR/2020;6;86
759;CS1;148;MAY/2020;2;53
758;PHY2;129;JUN/2020;2;58
300;ART3;117;JUL/2020;5;43
579;ELE4;123;AUG/2020;2;49
117;ROB5;121;SEP/2020;6;36
295;CS1;120;SEP/2020;4;38
872;PHY2;120;SEP/2020;3;67
596;ART3;138;NOV/2020;2;60
912;ELE4;143;JAN/2020;4;100
315;ROB5;121;FEB/2020;3;65
825;CS1;127;MAR/2020;5;61
616;PHY2;107;APR/2020;5;37
355;ART3;141;MAY/2020;4;96
475;ELE4;149;JUN/2020;5;45
219;ROB5;126;JUL/2020;5;48
135;CS1;136;AUG/2020;2;95
866;PHY2;120;SEP/2020;5;39
673;ART3;138;SEP/2020;3;79
381;ELE4;113;SEP/2020;2;62
611;ROB5;106;NOV/2020;4;56
221;CS1;100;JAN/2020;4;95
650;PHY2;143;FEB/2020;4;75
739;ART3;140;MAR/2020;4;70
811;ELE4;150;APR/2020;2;64
142;ROB5;137;MAY/2020;2;63
625;CS1;143;JUN/2020;4;90
855;PHY2;139;JUL/2020;3;49
594;ART3;123;AUG/2020;2;96
529;ELE4;144;SEP/2020;2;36
708;ROB5;141;SEP/2020;5;39
895;CS1;123;SEP/2020;4;80
114;PHY2;101;NOV/2020;6;46
442;ART3;145;JAN/2020;5;98
445;ELE4;109;FEB/2020;3;67
995;ROB5;120;MAR/2020;2;83
272;CS1;121;APR/2020;6;92
904;PHY2;127;MAY/2020;5;71
738;ART3;130;JUN/2020;3;91
871;ELE4;125;JUL/2020;3;91
372;ROB5;135;AUG/2020;3;55
982;CS1;120;SEP/2020;6;90
505;PHY2;136;SEP/2020;2;72
119;ART3;139;SEP/2020;5;95
636;ELE4;132;NOV/2020;4;93
168;ROB5;130;JAN/2020;4;99
210;CS1;143;FEB/2020;2;51
552;PHY2;130;MAR/2020;3;39
118;ART3;103;APR/2020;2;57
343;ELE4;149;MAY/2020;4;44
126;ROB5;133;JUN/2020;3;60
246;CS1;123;JUL/2020;5;42
382;PHY2;134;AUG/2020;2;53
552;ART3;120;SEP/2020;5;46
982;ELE4;127;SEP/2020;3;48
410;ROB5;118;SEP/2020;6;46
975;CS1;131;NOV/2020;4;61
348;PHY2;127;JAN/2020;4;78
238;ART3;116;FEB/2020;2;96
362;ELE4;136;MAR/2020;6;84
664;ROB5;136;APR/2020;3;96
449;CS1;137;MAY/2020;5;91
635;PHY2;121;JUN/2020;2;43
838;ART3;137;JUL/2020;5;42
371;ELE4;124;AUG/2020;4;94
270;ROB5;124;SEP/2020;2;98
883;CS1;118;SEP/2020;2;56
802;PHY2;129;SEP/2020;6;46
169;ART3;126;NOV/2020;2;72
867;ELE4;137;JAN/2020;4;55
425;ROB5;142;FEB/2020;5;100
792;CS1;137;MAR/2020;2;65
675;PHY2;102;APR/2020;2;73
256;ART3;107;MAY/2020;5;86
729;ELE4;103;JUN/2020;6;70
661;ROB5;111;JUL/2020;4;91
314;CS1;131;AUG/2020;6;62
432;PHY2;147;SEP/2020;5;56
867;ART3;136;SEP/2020;3;86
263;ELE4;113;SEP/2020;3;47
564;ROB5;145;NOV/2020;2;71
483;CS1;131;JAN/2020;5;70
416;PHY2;105;FEB/2020;5;62
825;ART3;124;MAR/2020;6;84
778;ELE4;144;APR/2020;2;93
493;ROB5;135;MAY/2020;6;62
243;CS1;149;JUN/2020;4;35
273;PHY2;126;JUL/2020;4;77
104;ART3;143;AUG/2020;4;89
536;ELE4;137;SEP/2020;2;49
723;ROB5;123;SEP/2020;2;94
934;CS1;131;SEP/2020;3;97
648;PHY2;105;NOV/2020;3;82
571;ART3;142;JAN/2020;6;55
532;ELE4;144;FEB/2020;3;79
402;ROB5;111;MAR/2020;5;92
669;CS1;113;APR/2020;2;96
814;PHY2;114;MAY/2020;5;62
968;ART3;123;JUN/2020;2;70
171;ELE4;128;JUL/2020;2;74
696;ROB5;109;AUG/2020;5;50
323;CS1;125;SEP/2020;5;74
965;PHY2;149;SEP/2020;2;53
133;ART3;123;SEP/2020;5;44
578;ELE4;137;NOV/2020;5;92
554;ROB5;126;JAN/2020;3;82
321;CS1;118;FEB/2020;3;45
959;PHY2;100;MAR/2020;5;100
476;ART3;105;APR/2020;2;94
830;ELE4;116;MAY/2020;2;81
813;ROB5;105;JUN/2020;3;52
423;CS1;125;JUL/2020;4;78
857;PHY2;144;AUG/2020;6;53
587;ART3;150;SEP/2020;5;50
250;ELE4;143;SEP/2020;3;97
314;ROB5;107;SEP/2020;6;35
156;CS1;130;NOV/2020;2;44
720;PHY2;136;JAN/2020;4;45
587;ART3;131;FEB/2020;5;75
103;ELE4;106;MAR/2020;2;76
427;ROB5;119;APR/2020;2;91
918;CS1;123;MAY/2020;6;66
891;PHY2;105;JUN/2020;2;76
288;ART3;121;JUL/2020;4;86
763;ELE4;138;AUG/2020;5;58
602;ROB5;131;SEP/2020;5;99
771;CS1;148;SEP/2020;4;79
596;PHY2;149;SEP/2020;2;70
514;ART3;126;NOV/2020;6;38
330;ELE4;111;JAN/2020;2;61
345;ROB5;141;FEB/2020;5;100
663;CS1;130;MAR/2020;4;67
162;PHY2;103;APR/2020;6;51
533;ART3;113;MAY/2020;6;60
783;ELE4;122;JUN/2020;6;56
970;ROB5;113;JUL/2020;4;76
296;CS1;129;AUG/2020;4;100
706;PHY2;127;SEP/2020;2;85
490;ART3;135;SEP/2020;4;74
860;ELE4;103;SEP/2020;5;79
952;ROB5;132;NOV/2020;6;62
417;CS1;122;JAN/2020;3;88
853;PHY2;117;FEB/2020;4;55
408;ART3;135;MAR/2020;4;83
853;ELE4;140;APR/2020;5;77
791;ROB5;124;MAY/2020;4;81
434;CS1;104;JUN/2020;5;85
273;PHY2;123;JUL/2020;4;63
599;ART3;129;AUG/2020;6;38
609;ELE4;137;SEP/2020;2;38
530;ROB5;104;SEP/2020;6;92
903;CS1;138;SEP/2020;4;49
370;PHY2;119;NOV/2020;4;49
967;ART3;144;JAN/2020;3;73
975;ELE4;145;FEB/2020;4;92
626;ROB5;120;MAR/2020;6;49
678;CS1;143;APR/2020;3;41
966;PHY2;111;MAY/2020;4;88
115;ART3;142;JUN/2020;6;74
284;ELE4;101;JUL/2020;5;56
335;ROB5;101;AUG/2020;3;96
157;CS1;126;SEP/2020;2;37
306;PHY2;137;SEP/2020;4;83
462;ART3;131;SEP/2020;5;80
155;ELE4;108;NOV/2020;3;66
110;ROB5;120;JAN/2020;5;51
514;CS1;113;FEB/2020;6;69
759;PHY2;149;MAR/2020;6;76
287;ART3;115;APR/2020;2;90
151;ELE4;141;MAY/2020;4;56
722;ROB5;120;JUN/2020;6;66
651;CS1;114;JUL/2020;6;89
581;PHY2;112;AUG/2020;4;80
315;ART3;110;SEP/2020;6;43
629;ELE4;133;SEP/2020;3;71
595;ROB5;141;SEP/2020;3;93
875;CS1;132;NOV/2020;3;40
264;PHY2;120;JAN/2020;4;98
275;ART3;121;FEB/2020;3;61
227;ELE4;125;MAR/2020;4;58
726;ROB5;113;APR/2020;3;74
929;CS1;123;MAY/2020;6;93
352;PHY2;103;JUN/2020;3;100
406;ART3;138;JUL/2020;2;99
850;ELE4;120;AUG/2020;2;50
313;ROB5;110;SEP/2020;2;64
836;CS1;103;SEP/2020;6;55
543;PHY2;109;SEP/2020;4;61
423;ART3;129;NOV/2020;6;65
114;ELE4;128;JAN/2020;3;45
209;ROB5;150;FEB/2020;6;67
681;CS1;123;MAR/2020;3;47
573;PHY2;110;APR/2020;2;39
219;ART3;136;MAY/2020;3;64
196;ELE4;123;JUN/2020;6;98
660;ROB5;107;JUL/2020;2;56
145;CS1;135;AUG/2020;3;52
408;PHY2;109;SEP/2020;6;64
305;ART3;102;SEP/2020;6;41
432;ELE4;135;SEP/2020;4;88
353;ROB5;126;NOV/2020;4;63
736;CS1;123;JAN/2020;2;40
575;PHY2;100;FEB/2020;2;88
159;ART3;116;MAR/2020;3;99
804;ELE4;128;APR/2020;3;51
122;ROB5;132;MAY/2020;4;42
417;CS1;102;JUN/2020;3;79
563;PHY2;112;JUL/2020;4;88
814;ART3;129;AUG/2020;2;62
808;ELE4;138;SEP/2020;6;67
279;ROB5;101;SEP/2020;6;100
366;CS1;123;SEP/2020;6;99
184;PHY2;147;NOV/2020;4;83
249;ART3;102;JAN/2020;2;73
294;ELE4;117;FEB/2020;6;64
269;ROB5;109;MAR/2020;6;94
781;CS1;119;APR/2020;5;90
544;PHY2;138;MAY/2020;2;83
858;ART3;135;JUN/2020;3;73
424;ELE4;142;JUL/2020;5;64
379;ROB5;108;AUG/2020;6;46
813;CS1;104;SEP/2020;5;86
188;PHY2;113;SEP/2020;4;96
857;ART3;115;SEP/2020;6;87
793;ELE4;106;NOV/2020;3;90
822;ROB5;132;JAN/2020;3;86
108;CS1;112;FEB/2020;2;38
771;PHY2;116;MAR/2020;2;91
181;ART3;109;APR/2020;2;62
132;ELE4;144;MAY/2020;2;89
715;ROB5;149;JUN/2020;2;37
799;CS1;137;JUL/2020;5;86
541;PHY2;139;AUG/2020;3;91
419;ART3;108;SEP/2020;5;96
584;ELE4;113;SEP/2020;2;38
550;ROB5;142;SEP/2020;4;46
271;CS1;134;NOV/2020;4;55
604;PHY2;150;JAN/2020;3;39
236;ART3;121;FEB/2020;6;60
895;ELE4;147;MAR/2020;3;59
129;ROB5;143;APR/2020;2;90
562;CS1;122;MAY/2020;6;57
351;PHY2;122;JUN/2020;3;59
646;ART3;136;JUL/2020;4;53
550;ELE4;130;AUG/2020;6;63
332;ROB5;101;SEP/2020;3;48
558;CS1;140;SEP/2020;5;99
678;PHY2;146;SEP/2020;3;64
666;ART3;134;NOV/2020;5;73
711;ELE4;144;JAN/2020;3;93
148;ROB5;125;FEB/2020;5;47
645;CS1;136;MAR/2020;5;76
387;PHY2;145;APR/2020;2;50
258;ART3;102;MAY/2020;4;86
275;ELE4;143;JUN/2020;5;36
434;ROB5;131;JUL/2020;5;67
577;CS1;128;AUG/2020;2;65
859;PHY2;122;SEP/2020;5;48
883;ART3;113;SEP/2020;3;69
519;ELE4;147;SEP/2020;4;39
896;ROB5;121;NOV/2020;4;53
731;CS1;130;JAN/2020;6;94
917;PHY2;142;FEB/2020;5;41
748;ART3;134;MAR/2020;5;39
240;ELE4;124;APR/2020;6;59
464;ROB5;111;MAY/2020;5;40
456;CS1;106;JUN/2020;4;38
734;PHY2;111;JUL/2020;3;39
236;ART3;112;AUG/2020;5;89
104;ELE4;136;SEP/2020;5;47
736;ROB5;125;SEP/2020;4;64
478;CS1;114;SEP/2020;2;76
549;PHY2;148;NOV/2020;2;91
295;ART3;107;JAN/2020;5;37
697;ELE4;138;FEB/2020;3;37
789;ROB5;135;MAR/2020;2;41
834;CS1;104;APR/2020;2;73
739;PHY2;122;MAY/2020;4;97
411;ART3;118;JUN/2020;6;78
351;ELE4;123;JUL/2020;3;70
804;ROB5;102;AUG/2020;4;74
920;CS1;150;SEP/2020;3;39
141;PHY2;146;SEP/2020;2;73
671;ART3;131;SEP/2020;4;50
641;ELE4;100;NOV/2020;3;89
857;ROB5;118;JAN/2020;5;80
878;CS1;111;FEB/2020;6;64
487;PHY2;122;MAR/2020;2;56
424;ART3;143;APR/2020;3;36
507;ELE4;129;MAY/2020;2;91
517;ROB5;133;JUN/2020;5;41
745;CS1;118;JUL/2020;4;39
802;PHY2;123;AUG/2020;3;76
103;ART3;124;SEP/2020;2;89
495;ELE4;101;SEP/2020;3;94
845;ROB5;117;SEP/2020;5;48
881;CS1;149;NOV/2020;6;52
946;PHY2;122;JAN/2020;3;99
875;ART3;140;FEB/2020;6;42
958;ELE4;143;MAR/2020;4;94
959;ROB5;122;APR/2020;3;68
830;CS1;120;MAY/2020;4;70
509;PHY2;142;JUN/2020;4;81
998;ART3;112;JUL/2020;4;93
669;ELE4;120;AUG/2020;3;59
713;ROB5;118;SEP/2020;5;75
921;CS1;123;SEP/2020;6;45
281;PHY2;100;SEP/2020;5;40
178;ART3;149;NOV/2020;6;42
627;ELE4;136;JAN/2020;5;44
879;ROB5;105;FEB/2020;4;89
127;CS1;109;MAR/2020;3;69
387;PHY2;133;APR/2020;2;78
541;ART3;128;MAY/2020;5;52
